TIME,DATA_VALUE,retrieved_at
19970517,12.17,2026-08-24
19970519,12.15,2026-08-24
19970520,12.2,2026-08-24
19970521,12.19,2026-08-24
19970522,12.17,2026-08-24
19970523,12.2,2026-08-24
19970524,12.19,2026-08-24
19970526,12.19,2026-08-24
19970527,12.13,2026-08-24
19970528,11.98,2026-08-24
19970529,11.86,2026-08-24
19970530,11.86,2026-08-24
19970531,11.9,2026-08-24
19970602,11.88,2026-08-24
19970603,11.85,2026-08-24
19970604,11.65,2026-08-24
19970605,11.52,2026-08-24
19970607,11.45,2026-08-24
19970609,11.38,2026-08-24
19970610,11.42,2026-08-24
19970611,11.53,2026-08-24
19970612,11.58,2026-08-24
19970613,11.5,2026-08-24
19970614,11.5,2026-08-24
19970616,11.5,2026-08-24
19970617,11.65,2026-08-24
19970618,11.65,2026-08-24
19970619,11.68,2026-08-24
19970620,11.65,2026-08-24
19970621,11.65,2026-08-24
19970623,11.75,2026-08-24
19970624,11.9,2026-08-24
19970625,11.9,2026-08-24
19970626,11.75,2026-08-24
19970627,11.72,2026-08-24
19970628,11.72,2026-08-24
19970630,11.75,2026-08-24
19970701,11.63,2026-08-24
19970702,11.59,2026-08-24
19970703,11.57,2026-08-24
19970704,11.7,2026-08-24
19970705,11.7,2026-08-24
19970707,11.75,2026-08-24
19970708,11.72,2026-08-24
19970709,11.72,2026-08-24
19970710,11.72,2026-08-24
19970711,11.75,2026-08-24
19970712,11.75,2026-08-24
19970714,11.87,2026-08-24
19970715,11.95,2026-08-24
19970716,12.05,2026-08-24
19970718,12.13,2026-08-24
19970719,12.13,2026-08-24
19970721,12.13,2026-08-24
19970722,12.16,2026-08-24
19970723,12.1,2026-08-24
19970724,11.92,2026-08-24
19970725,11.9,2026-08-24
19970726,11.9,2026-08-24
19970728,11.8,2026-08-24
19970729,11.87,2026-08-24
19970730,11.91,2026-08-24
19970731,11.9,2026-08-24
19970801,11.95,2026-08-24
19970802,11.95,2026-08-24
19970804,11.98,2026-08-24
19970805,11.92,2026-08-24
19970806,11.94,2026-08-24
19970807,11.94,2026-08-24
19970808,11.94,2026-08-24
19970809,11.94,2026-08-24
19970811,12,2026-08-24
19970812,12.1,2026-08-24
19970813,12.1,2026-08-24
19970814,12.15,2026-08-24
19970816,12.15,2026-08-24
19970818,12.25,2026-08-24
