,3Y realised21,3Y GARCH,10Y realised21,10Y GARCH
2022-04-15,10.165504227064986,10.805369841971906,6.734580271150642,6.4936994595931
2022-04-18,10.15197611539837,10.49846506062625,6.735018648116442,6.905946381939438
2022-04-19,10.305604115745767,10.074343076851548,6.836334996946556,6.733261566666509
2022-04-20,10.111556330682797,9.667387308704326,6.763054395900187,6.553102356448245
2022-04-21,10.134194825535213,9.177300649236455,6.712174440096577,6.361044862803686
2022-04-22,10.123889709846841,8.71290235902112,6.710187705840955,6.156916451040747
2022-04-25,10.464852739391166,8.285019270896376,7.459634230787929,5.960155640761601
2022-04-26,8.852484181882284,8.516185834663913,6.636439808612256,6.619405554534428
2022-04-27,8.743449248546288,8.140662852429788,6.2566878503840195,6.405185752262378
2022-04-28,8.540675784570135,8.06787756094317,6.07740937916024,6.200711980772169
2022-04-29,8.537541745000073,7.686357866098332,6.050808682670915,6.039953804687347
2022-05-02,8.67157919379657,7.407969145963288,6.794738861095128,6.1475830378127405
2022-05-03,8.683062330109768,8.316962555708294,6.787670895857896,7.144677960033093
2022-05-04,8.587174822289999,8.007566652269471,6.77226838272223,6.923219648905915
2022-05-06,8.629492618754751,7.674617694560087,6.788982671526408,6.718859723427714
2022-05-09,8.780622605107977,7.349346658355713,6.793592919943384,6.503805267422335
2022-05-10,8.480004492361786,7.352818679872392,6.674496592395931,6.293262753775897
2022-05-11,7.43992447478307,7.003509090008711,6.877593017494266,6.095534405620382
2022-05-12,7.043446802322201,7.9605273775236025,7.107430719224181,7.019362389579778
2022-05-13,6.813634789715327,7.568035750948453,7.232328216319524,7.1242815622539695
2022-05-16,6.651702252592402,7.206796758154578,6.965363286597895,7.031335529859136
2022-05-17,6.496812405216228,7.724500539026117,6.501069509081167,6.866395838391428
2022-05-18,6.440533843593729,7.341704681858471,6.506582747312073,6.651097079405409
2022-05-19,6.350628015438805,7.017093763446246,6.480917042694327,6.496198930460113
2022-05-20,6.42880052501835,6.665438323579868,6.629774110926015,6.289200440801872
2022-05-23,6.437128167717267,6.470075698640938,6.650499444187853,6.318990511616086
2022-05-24,6.602196604161376,6.179300651010297,6.7689662993624715,6.140454315210438
2022-05-25,6.181635628829886,6.2221930152165354,6.172488885985869,6.134576007282111
