,change_bp,ruptures(pen=20),MarkovRegression(k=2),hmmlearn(states=2)
2023-03-02,7.399999999999977,0,1,1
2023-03-03,-6.199999999999989,0,1,1
2023-03-06,-5.699999999999989,0,1,1
2023-03-07,-6.299999999999898,0,1,1
2023-03-08,5.999999999999886,0,1,1
2023-03-09,0.8000000000000682,0,1,1
2023-03-10,-13.800000000000068,0,1,1
2023-03-13,-15.700000000000045,0,1,1
2023-03-14,-4.999999999999943,0,1,1
2023-03-15,4.5,0,1,1
2023-03-16,-2.0,0,1,1
2023-03-17,0.49999999999994316,0,1,1
2023-03-20,-11.499999999999943,0,1,1
2023-03-21,1.5000000000000568,0,1,0
2023-03-22,-4.000000000000057,0,0,0
2023-03-23,0.6999999999999886,0,0,0
2023-03-24,-5.0,0,0,0
2023-03-27,4.000000000000057,0,0,0
2023-03-28,1.4999999999999432,0,0,0
2023-03-29,-0.8999999999999773,0,0,0
2023-03-30,4.199999999999989,0,0,0
2023-03-31,5.0,0,0,0
2023-04-03,2.5,0,0,0
2023-04-04,-6.7999999999999545,0,0,0
2023-04-05,0.9999999999999432,0,0,0
2023-04-06,-4.499999999999943,0,0,0
2023-04-07,0.9999999999999432,0,0,0
2023-04-10,-6.899999999999977,0,0,0
2023-04-11,1.8999999999999773,0,0,0
2023-04-12,3.0,0,0,0
2023-04-13,0.7999999999999545,0,0,0
2023-04-14,1.0000000000000568,0,0,0
2023-04-17,6.7000000000000455,0,0,0
2023-04-18,-0.5000000000000568,0,0,0
2023-04-19,2.0,0,0,0
2023-04-20,3.0,0,0,0
2023-04-21,-8.399999999999977,0,0,0
2023-04-24,-1.099999999999966,0,0,0
2023-04-25,1.9999999999999432,0,0,0
2023-04-26,-1.6999999999999886,0,0,0
2023-04-27,3.5,0,0,0
2023-04-28,2.1999999999999886,0,0,0
2023-05-02,0.30000000000001137,0,0,0
2023-05-03,-5.2999999999999545,0,0,0
2023-05-04,-4.000000000000057,0,0,0
2023-05-08,3.6000000000000227,0,0,0
2023-05-09,0.6999999999999886,0,0,0
2023-05-10,1.5,0,0,0
2023-05-11,-4.0,0,0,0
2023-05-12,-1.2999999999999545,0,0,0
2023-05-15,5.199999999999989,0,0,0
2023-05-16,-3.2000000000000455,0,0,0
2023-05-17,1.8000000000000114,0,0,0
2023-05-18,3.900000000000034,0,0,0
2023-05-19,5.599999999999966,0,1,0
2023-05-22,-2.8000000000000114,0,1,0
2023-05-23,9.300000000000011,0,1,1
2023-05-24,2.7000000000000455,0,1,1
2023-05-25,8.799999999999955,0,1,1
2023-05-26,5.000000000000057,0,1,1
2023-05-30,0.7999999999999545,0,1,1
2023-05-31,-13.300000000000011,0,1,1
2023-06-01,2.999999999999943,0,1,1
2023-06-02,-5.7999999999999545,0,1,1
2023-06-05,5.7999999999999545,0,1,1
2023-06-07,-2.7999999999999545,0,1,1
