,KTB_3Y_bp,KTB_10Y_bp,slope_10y_3y_bp
2022-07-07,327.2,331.59999999999997,4.399999999999977
2022-07-08,331.59999999999997,336.0,4.400000000000034
2022-07-11,332.0,338.5,6.5
2022-07-12,327.0,333.5,6.5
2022-07-13,320.99999999999994,329.5,8.500000000000057
2022-07-14,324.9,327.09999999999997,2.1999999999999886
2022-07-15,319.1,322.2,3.099999999999966
2022-07-18,322.0,327.99999999999994,5.999999999999943
2022-07-19,318.50000000000006,324.5,5.999999999999943
2022-07-20,328.8,335.4,6.599999999999966
2022-07-21,329.59999999999997,337.0,7.400000000000034
2022-07-22,320.80000000000007,330.1,9.299999999999955
2022-07-25,315.0,320.7,5.699999999999989
2022-07-26,312.0,318.0,6.0
2022-07-27,308.0,311.5,3.5
2022-07-28,312.5,320.0,7.5
2022-07-29,299.8,312.5,12.699999999999989
2022-08-01,308.0,317.4,9.399999999999977
2022-08-02,300.5,307.50000000000006,7.000000000000057
2022-08-03,306.70000000000005,312.0,5.2999999999999545
2022-08-04,312.0,315.49999999999994,3.499999999999943
2022-08-05,307.50000000000006,311.5,3.999999999999943
2022-08-08,312.7,317.0,4.300000000000011
2022-08-09,313.0,315.2,2.1999999999999886
2022-08-10,315.0,320.0,5.0
2022-08-11,311.90000000000003,321.5,9.599999999999966
2022-08-12,317.7,327.7,10.0
2022-08-16,306.5,315.0,8.5
2022-08-17,308.5,318.0,9.5
2022-08-18,313.0,322.5,9.5
2022-08-19,319.20000000000005,330.2,10.999999999999943
2022-08-22,323.49999999999994,333.19999999999993,9.699999999999989
2022-08-23,327.2,335.2,8.0
2022-08-24,331.5,344.0,12.5
2022-08-25,353.5,358.5,5.0
2022-08-26,353.5,362.09999999999997,8.599999999999966
2022-08-29,366.0,370.7,4.699999999999989
2022-08-30,365.0,369.2,4.199999999999989
2022-08-31,367.9,371.2,3.3000000000000114
2022-09-01,379.00000000000006,381.2,2.199999999999932
2022-09-02,368.2,373.0,4.800000000000011
2022-09-05,361.5,366.5,5.0
2022-09-06,368.0,371.2,3.1999999999999886
2022-09-07,368.5,374.0,5.5
2022-09-08,354.7,362.00000000000006,7.300000000000068
2022-09-13,352.0,360.00000000000006,8.000000000000057
2022-09-14,358.0,362.5,4.5
2022-09-15,376.50000000000006,379.00000000000006,2.5
2022-09-16,377.0,377.0,0.0
2022-09-19,375.99999999999994,378.5,2.500000000000057
2022-09-20,382.5,383.99999999999994,1.4999999999999432
2022-09-21,384.50000000000006,388.3,3.7999999999999545
2022-09-22,411.00000000000006,400.5,-10.500000000000057
2022-09-23,420.0,412.7,-7.300000000000011
2022-09-26,454.5,433.2,-21.30000000000001
2022-09-27,431.0,421.0,-10.0
2022-09-28,433.5,433.0,-0.5
2022-09-29,430.19999999999993,423.00000000000006,-7.199999999999875
2022-09-30,418.5,408.19999999999993,-10.300000000000068
2022-10-04,407.0,399.00000000000006,-7.999999999999943
2022-10-05,417.2,410.50000000000006,-6.699999999999932
2022-10-06,415.0,409.99999999999994,-5.000000000000057
2022-10-07,427.8,421.0,-6.800000000000011
2022-10-11,434.49999999999994,431.0,-3.499999999999943
2022-10-12,410.2,409.2,-1.0
2022-10-13,420.20000000000005,423.00000000000006,2.8000000000000114
2022-10-14,420.0,417.99999999999994,-2.000000000000057
2022-10-17,425.00000000000006,423.20000000000005,-1.8000000000000114
2022-10-18,425.00000000000006,428.7,3.699999999999932
2022-10-19,433.6,440.50000000000006,6.900000000000034
2022-10-20,434.99999999999994,443.49999999999994,8.5
2022-10-21,446.2,462.0,15.800000000000011
2022-10-24,431.5,451.99999999999994,20.499999999999943
2022-10-25,421.5,434.0,12.5
2022-10-26,421.8,428.2,6.399999999999977
2022-10-27,426.0,431.5,5.5
2022-10-28,412.0,417.49999999999994,5.499999999999943
2022-10-31,417.49999999999994,422.70000000000005,5.200000000000102
2022-11-01,406.0,413.6,7.600000000000023
2022-11-02,408.00000000000006,413.5,5.499999999999943
2022-11-03,415.50000000000006,419.00000000000006,3.5
2022-11-04,412.5,419.00000000000006,6.500000000000057
2022-11-07,418.20000000000005,424.7,6.499999999999943
2022-11-08,415.2,423.50000000000006,8.300000000000068
2022-11-09,408.90000000000003,418.20000000000005,9.300000000000011
2022-11-10,403.0,406.50000000000006,3.500000000000057
2022-11-11,383.3,390.0,6.699999999999989
2022-11-14,385.2,393.50000000000006,8.300000000000068
2022-11-15,374.50000000000006,384.50000000000006,10.0
2022-11-16,381.0,390.0,9.0
2022-11-17,381.2,384.90000000000003,3.7000000000000455
2022-11-18,378.7,379.6,0.9000000000000341
2022-11-21,384.50000000000006,376.50000000000006,-8.0
2022-11-22,385.7,378.0,-7.699999999999989
2022-11-23,383.99999999999994,376.70000000000005,-7.299999999999898
2022-11-24,369.09999999999997,361.5,-7.599999999999966
2022-11-25,364.0,361.3,-2.6999999999999886
2022-11-28,366.5,359.5,-7.0
2022-11-29,371.0,366.5,-4.5
2022-11-30,370.5,368.0,-2.5
2022-12-01,364.2,366.0,1.8000000000000114
2022-12-02,361.5,357.50000000000006,-3.999999999999943
2022-12-05,360.2,353.90000000000003,-6.2999999999999545
2022-12-06,363.2,350.5,-12.699999999999989
2022-12-07,367.8,353.0,-14.800000000000011
2022-12-08,368.2,353.4,-14.800000000000011
2022-12-09,364.90000000000003,348.0,-16.900000000000034
2022-12-12,361.1,344.0,-17.100000000000023
2022-12-13,362.00000000000006,346.4,-15.60000000000008
2022-12-14,352.8,340.0,-12.800000000000011
2022-12-15,353.0,337.2,-15.800000000000011
2022-12-16,353.5,335.0,-18.5
2022-12-19,354.3,340.0,-14.300000000000011
2022-12-20,368.0,360.5,-7.5
2022-12-21,363.0,356.0,-7.0
2022-12-22,356.99999999999994,347.0,-9.999999999999943
2022-12-23,361.5,355.1,-6.399999999999977
